case_id,scenario_type,respondent_profile,sensitivity_level,context_summary,communication_goals,risk_flags,recommended_norms,created_at
11d2d221,workplace_incident_review,cooperative,high,A report has been filed regarding a concerning incident in the logistics department on Tuesday morning. The respondent was present and is described as a field representative.,Identify all persons present; Understand the respondent's direct observations; Establish a clear timeline of events,blame_attribution; retaliation_fear,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.228450+00:00
b807b5ff,witness_recall,confused,medium,"Following a sensitive incident at reception, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Elicit a free, uncontaminated account; Clarify the sequence and timing of events; Avoid suggestive or leading language",confabulation_risk; trauma_proximity,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.228501+00:00
c2e5aa8c,witness_recall,resistant,medium,"Following a sensitive incident at operations, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Elicit a free, uncontaminated account; Identify what was directly observed versus inferred; Avoid suggestive or leading language",confabulation_risk; memory_suggestibility,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.228532+00:00
5b421868,public_service_complaint,cooperative,medium,The respondent submitted a formal complaint about the licensing service received during a appointment. This structured conversation seeks to clarify facts and explore resolution options.,Clarify what the respondent experienced; Document the nature and impact of the complaint; Gather any supporting details,emotional_distress; past_negative_experience,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.228559+00:00
921ae7b1,witness_recall,anxious,critical,The respondent is a junior analyst who was present during a concerning event at the records. This recall conversation aims to elicit an uncontaminated account of what was observed.,Avoid suggestive or leading language; Clarify the sequence and timing of events; Identify what was directly observed versus inferred,memory_suggestibility; confabulation_risk,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.228590+00:00
0157f63a,public_service_complaint,anxious,medium,The respondent submitted a formal complaint about the community health service received during a renewal. This structured conversation seeks to clarify facts and explore resolution options.,Clarify what the respondent experienced; Identify desired resolution; Gather any supporting details,past_negative_experience; systemic_distrust,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.228619+00:00
e2e458d1,compliance_interview,confused,high,A compliance audit has flagged a potential process deviation in the records team. This conversation seeks to clarify the respondent's understanding and actions during the relevant period.,Assess procedural knowledge; Verify the respondent's understanding of relevant procedures; Identify any deviations and the rationale behind them,self_incrimination_concern; authority_anxiety,procedural_fairness; neutrality; non_leading; transparency,2026-03-08T18:03:17.228644+00:00
23783bcd,witness_recall,anxious,medium,"Following a documented incident at field, the respondent has been asked to provide a structured recall account. They were nearby when the event occurred and may have relevant observations.","Identify what was directly observed versus inferred; Clarify the sequence and timing of events; Elicit a free, uncontaminated account",memory_suggestibility; confabulation_risk,non_leading; non_coercion; neutrality; respect,2026-03-08T18:03:17.228668+00:00
f275c503,clinical_intake,anxious,high,A structured intake conversation is being conducted with an individual who has requested case management support. The respondent reports difficulty managing ongoing responsibilities as a primary concern.,Build rapport and establish trust; Identify any immediate support needs; Assess current level of functioning,disclosure_hesitancy; emotional_fragility,empathy; non_coercion; transparency; emotional_sensitivity; respect,2026-03-08T18:03:17.228692+00:00
5bbda47a,public_service_complaint,trauma_sensitive,medium,The respondent submitted a formal complaint about the housing service received during a appointment. This structured conversation seeks to clarify facts and explore resolution options.,Clarify what the respondent experienced; Identify desired resolution; Document the nature and impact of the complaint,systemic_distrust; past_negative_experience,empathy; transparency; respect; non_leading,2026-03-08T18:03:17.228715+00:00
8486d714,workplace_incident_review,anxious,medium,A report has been filed regarding a documented incident in the reception department on Tuesday morning. The respondent was present and is described as a case officer.,Identify all persons present; Clarify any actions taken at the time; Understand the respondent's direct observations,retaliation_fear; blame_attribution,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.228739+00:00
8b765bfb,workplace_incident_review,trauma_sensitive,high,"Following a disputed workplace event involving two team members, a review conversation is being conducted with a field representative who witnessed part of the incident.",Identify all persons present; Establish a clear timeline of events; Understand the respondent's direct observations,blame_attribution; hierarchy_pressure,non_coercion; non_leading; transparency; procedural_fairness; neutrality,2026-03-08T18:03:17.228765+00:00
